Type,Sub-type,title,Rule1,Rule2,Rule3,Ability1,Ability2,Ability3,Help Text,Flavor Text
item,attack,Photon Cannon , +1 Attack,,,,,,,
item,attack,Flak Blaster, +1 Attack,,,"SHRAPNEL SHEILD: 4●: 
Disable an item equiped to target ship in your sector until end of turn.",,,(All Effects of a disabled item are ignored and it's abilities cannot be used.)  ,
item,attack,Laser Slicer, +1 Attack,,,"PINPOINT: 1●:
+2 attack until end of turn. ",,,,
item,attack,Beam Splitter, +2 Attack,,,"FRACTURE: 2●:
+2 attack until end of turn. ",,,,
item,attack,Blaster Core, +2 Attack,,,"OVERCHARGE: 4●:
+6 Attack until end of turn.
Destroy this item. ",,,,
item,adv attack,Heat Ray," +3 Attack
 -3 Defense",,,"OVER HEAT: 3●:
+3 Attack until end of turn.
-3 Defense until end of turn.",,,(Your Items cannot reduce your total Defense bellow 1),
item,adv attack,Industrial Mining Crusher," +3 Attack
  -1 Speed",Collect 1♦ extra Crystal from any system that gives you Crystals.,,,,,,
item,adv attack,The Black Flag," +X attack, where X is equal to half of your reputation rounded down.", +2 to your Reputation when you equip this Item. ,,,,,,
item,super attack,Cluster Rockets,,,,"VOLLEY:  X●:
+X attack until end of turn.",,,,
item,super attack,Trash Cannon,,,,"CHUCK: discard a card: 
+4 Attack until end of turn.",,,,
item,defense,Slime Sealant, +1 defense,,,,,,,
item,defense,Blast Panels, +1 defense,,,,,,,
item,defense,Particle Sheild, +1 defense,,,"CHARGE: 3●:
+3 defense",,,,
item,defense,Reinforced Hull Plating, +2 defense,,,,,,,
item,defense,Sentient Sensor Suite, +2 defense,At the end of your move if you entered a new sector collect 1♦ crystal. ,,"SENSOR PING: 1●:
+1 Defense until end of turn",,,,
item,adv defense,Nanoid Patchers, +1 defense,,,"
AMALGAMAFY: 0●:
+4 defense
Disable an item equiped to your ship until end of turn. ",,,(All Effects of a disabled item are ignored and it's abilities cannot be used.)  ,
item,adv defense,Impact Dampener, +2 Defense,,,"RIPPLE: 2●:
+3 Defense until end of turn.
-3 Attack until end of turn.",,,,
item,adv defense,The Invisible Hook (rename?)," +4 Defense 
-2 Attack ","
-X Defense and +X Attack where X is your Reputation. ",,,,,(Your Items cannot reduce your total Defense bellow 1),
item,super defense,Warp Shield ,,,,"ENGAGE: X●:
+X Defense until end of turn.",,,,
